,v_fabricante,v_producto,v_cadena_busqueda,aux.matches.ip_str,aux.matches.isp,aux.matches.location.city,aux.matches.location.longitude,aux.matches.location.latitude,aux.matches.location.country_name,aux.matches.location.country_code3,aux.matches.os,aux.matches.org,aux.matches.asn
32,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,200.87.128.214,Entel S.A. - EntelNet,La Paz,-68.15,-16.5,Bolivia,BOL,NA,Entel S.A. - EntelNet,AS6568
33,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,190.148.193.227,Claro Guatemala Static IP,Guatemala City,-90.5269,14.6211,Guatemala,GTM,NA,Claro Guatemala Static IP,AS14754
34,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,203.48.138.5,Telstra Internet,Macquarie,149.0636,-35.2513,Australia,AUS,NA,Telstra Internet,AS1221
35,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
36,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,84.254.20.130,Wind Hellas Telecommunications SA,Thessaloníki,22.9439,40.6403,Greece,GRC,NA,Tellas S.A.,AS25472
37,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
38,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
39,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,197.243.37.2,Olleh-Rwanda-Networks,Kigali,30.0606,-1.95359999999999,Rwanda,RWA,NA,Olleh-Rwanda-Networks,AS37228
40,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,103.25.23.188,Beijing Sheng Hexuan Culture Communication Co.,Beijing,116.3883,39.9289,China,CHN,NA,Beijing Sheng Hexuan Culture Communication Co.,AS23724
41,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
42,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,64.141.40.178,Shaw Communications,Calgary,-114.0214,51.0876,Canada,CAN,NA,Shaw Communications,AS6327
43,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,82.78.81.167,RCS & RDS,Buzau,26.8333,45.15,Romania,ROU,NA,RCS & RDS Business,AS8708
44,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
45,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,187.188.195.150,Totalplay,Hermosillo,-110.9667,29.0667,Mexico,MEX,NA,Totalplay,AS17072
46,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
47,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,72.38.233.151,Cogeco Cable,Sarnia,-82.3592,42.9888,Canada,CAN,NA,Cogeco Cable,AS7992
48,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
49,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
50,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,93.103.3.87,T-2 Access Network,Ljubljana,14.5051,46.0511,Slovenia,SVN,NA,T-2 Access Network,AS34779
51,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,80.120.157.195,Telekom Austria,Kasten Bei Boheimkirchen,15.7652,48.1636,Austria,AUT,NA,Telekom Austria,AS8447
52,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
53,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,201.100.65.71,Telmex,NA,-99.0111,19.4371,Mexico,MEX,NA,Telmex,AS8151
54,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,193.93.68.162,Gmina Lublin,Swidnik,22.7107,51.2231,Poland,POL,NA,Gmina Lublin,AS42520
55,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,115.70.33.246,Exetel,Belrose,151.2167,-33.7333,Australia,AUS,NA,Exetel,AS10143
56,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,67.43.216.130,Vistabeam,Wray,-102.2519,40.0858,United States,USA,NA,Vistabeam,AS394883
57,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,187.141.84.67,Telmex,Xalapa,-96.9631,19.5386,Mexico,MEX,NA,Telmex,AS8151
58,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,108.223.119.91,AT&T U-verse,NA,-97.822,37.751,United States,USA,NA,AT&T U-verse,AS7018
59,Adcon Telemetry,A850 Telemetry Gateway,A850 Telemetry Gateway,195.251.18.9,Greek Research and Technology Network S.A,NA,23.7167,37.9667,Greece,GRC,NA,University of Thessaly,AS5408
60,ABB,RTU500,ABB RTU560,212.5.144.2,Vivacom,Burgas,27.4667,42.5,Bulgaria,BGR,NA,Vivacom,AS8866
61,ABB,RTU500,ABB RTU560,213.226.45.3,Mtel,NA,23.3333,42.7,Bulgaria,BGR,NA,Mtel,AS12716
62,ABB,RTU500,ABB RTU560,188.59.108.66,Turkcell,NA,28.9948,41.0214,Turkey,TUR,Windows 7 or 8,Turkcell,AS16135
63,ABB,RTU500,ABB RTU560,213.226.45.163,Mtel,NA,23.3333,42.7,Bulgaria,BGR,NA,Mtel,AS12716
64,ABB,RTU500,ABB RTU560,213.226.45.161,Mtel,NA,23.3333,42.7,Bulgaria,BGR,NA,Mtel,AS12716
65,ABB,Generic,ABB Webmodule,176.227.138.87,Skylogic S.p.A.,Bedford,-0.449999999999989,52.1333,United Kingdom,GBR,NA,Skylogic S.p.A.,AS29286
66,ABB,Generic,ABB Webmodule,176.227.138.87,Skylogic S.p.A.,Bedford,-0.449999999999989,52.1333,United Kingdom,GBR,NA,Skylogic S.p.A.,AS29286
67,ABB,Generic,ABB Webmodule,176.227.138.87,Skylogic S.p.A.,Bedford,-0.449999999999989,52.1333,United Kingdom,GBR,NA,Skylogic S.p.A.,AS29286
68,ACKP,Generic,AKCP Embedded Web Server,128.39.64.36,UNINETT AS,Kristiansand,7.9974,58.1496,Norway,NOR,NA,UNINETT AS,AS224
69,ACKP,Generic,AKCP Embedded Web Server,129.177.41.157,UNINETT,Bergen,5.32419999999999,60.393,Norway,NOR,NA,UNINETT,AS224
70,ACKP,Generic,AKCP Embedded Web Server,193.206.161.6,Consortium GARR,Caravate,8.65430000000001,45.8786,Italy,ITA,NA,Consortium GARR,AS137
71,ACKP,Generic,AKCP Embedded Web Server,76.72.88.170,Lafayette Consolidated Government,Lafayette,-91.9895,30.239,United States,USA,NA,Lafayette Consolidated Government,AS25921
72,ACKP,Generic,AKCP Embedded Web Server,59.125.27.191,HiNet,Beinan,121.1228,22.781,Taiwan,TWN,NA,HiNet,AS3462
73,ACKP,Generic,AKCP Embedded Web Server,160.94.233.60,University of Minnesota,Minneapolis,-93.2323,44.9733,United States,USA,NA,University of Minnesota,AS217
74,ACKP,Generic,AKCP Embedded Web Server,38.101.126.134,Cogent Communications,Orlando,-81.2439,28.5883,United States,USA,Windows 7 or 8,Cogent Communications,AS174
75,ACKP,Generic,AKCP Embedded Web Server,92.60.105.3,Nuco Technologies Ltd,NA,-0.122399999999999,51.4964,United Kingdom,GBR,NA,Nuco Technologies Ltd,AS45014
76,ACKP,Generic,AKCP Embedded Web Server,131.211.28.55,Universiteit Utrecht,Utrecht,5.1191,52.0938,Netherlands,NLD,NA,Universiteit Utrecht,AS1103
77,ACKP,Generic,AKCP Embedded Web Server,100.33.121.225,Verizon Fios,Spring Valley,-74.046,41.1163,United States,USA,NA,Verizon Fios,AS701
78,ACKP,Generic,AKCP Embedded Web Server,92.60.104.158,Nuco Technologies Ltd,NA,-0.122399999999999,51.4964,United Kingdom,GBR,NA,Nuco Technologies Ltd,AS45014
79,ACKP,Generic,AKCP Embedded Web Server,81.194.43.56,Renater,Paris,2.32919999999999,48.8628,France,FRA,NA,Universite Paris,AS2200
80,ACKP,Generic,AKCP Embedded Web Server,59.125.75.99,HiNet,Changhua,120.5384,24.074,Taiwan,TWN,NA,HiNet,AS3462
81,ACKP,Generic,AKCP Embedded Web Server,110.169.21.202,True Internet,Bangkok,100.4833,13.75,Thailand,THA,NA,True Internet,AS17552
82,ACKP,Generic,AKCP Embedded Web Server,193.33.135.85,e-Quest Automatisering B.V.,NA,4.89949999999999,52.3824,Netherlands,NLD,NA,e-Quest Automatisering B.V.,AS42707
